question,answer
hello,How may I help you? Ask any question regarding plants.
hi,How may I help you? Ask any question regarding plants.
hey,How may I help you? Ask any question regarding plants.
help,I can help you with plant diseases causes prevention and treatments.
what does this project do,This project detects plant diseases and suggests remedies.
how this works,Upload a leaf image and the system predicts disease using machine learning.
why plant disease happens,Plant diseases occur due to fungi bacteria viruses pests or poor care.
how to prevent plant disease,Avoid overwatering use healthy seeds and keep plants clean.
can farmers use this app,Yes this app is designed especially for farmers.
does this support hindi,Yes this application supports both English and Hindi.
thank you,You are welcome feel free to ask more questions.
thanks,Happy to help you with plant related questions.

Why are tomato leaves turning yellow?,Tomato leaves turn yellow due to overwatering nitrogen deficiency or poor soil drainage. Avoid excess watering and use proper fertilizer.
What is late blight in tomatoes?,Late blight is a fungal disease caused by Phytophthora infestans. Avoid high moisture and use fungicide spray.
Why are brown spots appearing on leaves?,Brown spots occur due to fungal or bacterial infection. Avoid wet leaves and remove infected parts.
Why are plant leaves curling?,Leaf curling happens due to pests like aphids mites or viral infection. Avoid pest attack and use neem spray.
Why are plants wilting?,Wilting occurs due to lack of water root damage or fungal infection. Avoid dry soil and ensure proper drainage.
What causes white powder on leaves?,White powder is caused by powdery mildew fungus. Avoid humidity and spray sulfur based fungicide.
Why did this plant disease occur?,This disease occurred due to fungal infection poor nutrition or excess moisture. Avoid overwatering and maintain hygiene.
Why did my crop get infected?,Crop infection happens due to pests fungus or contaminated soil. Avoid infected seeds and follow crop rotation.
Why are black spots on leaves?,Black spots are caused by fungal disease. Avoid water stagnation and remove affected leaves.
Why are leaf edges turning brown?,Leaf edge browning is due to lack of water or excess fertilizer. Avoid over fertilization.
Why are leaves drying?,Leaves dry due to heat stress nutrient deficiency or disease. Avoid direct sunlight stress and provide nutrients.
Why are plants not growing properly,Poor growth occurs due to nutrient deficiency disease or poor soil quality. Avoid unhealthy soil.
What causes fungal disease in plants,Fungal disease occurs due to moisture humidity and poor air circulation. Avoid overcrowding plants.
What causes bacterial disease in plants,Bacterial disease spreads through infected tools water and wounds. Avoid cutting with dirty tools.
What causes viral disease in plants,Viral diseases spread by insects like aphids and whiteflies. Avoid pest infestation.
How to avoid plant disease in future,Use certified seeds proper watering pest control and regular monitoring.
Why are holes in leaves,Holes are caused by insects like caterpillars. Avoid pest attack and use organic pesticide.
Why is my plant dying,Plant may die due to severe disease root rot or lack of care. Avoid late treatment.
Is this disease dangerous for crops,Yes untreated diseases can reduce crop yield heavily. Avoid ignoring early symptoms.
How can farmers reduce loss,Early detection proper medicine and timely care reduces crop loss.
